year,rank,company,ticker,country,attributable_gold_koz,gold_revenue_share_pct,source_primary,source_crosscheck,confidence,panel_eligible,ineligible_reason
2020,6,Gold Fields,GFI,ZA,2130,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,7,Newcrest Mining,NCM,AU,2060,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,8,Agnico Eagle Mines,AEM,CA,1730,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,9,Polymetal International,POLY,RU,1400,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,no,"polymetalinternational.com returns HTTP 403 to both a direct request and the r.jina.ai proxy fallback -- the only source across this whole research project that failed even the fallback method; only a Russian-language FY2020 mirror (akm.ru) was confirmed live this session, with no complete English-language historical run found (docs/NONSEC_SOURCES.md 3.2, 5, 6.3)"
2020,10,Harmony Gold,HMY,ZA,1380,,"Elements by Visual Capitalist (Oct 19, 2021), citing Mining Intelligence: FY2020 attributable production, adjusted to Dec 31 2020 ownership","MINING.com ""the world's top 10 gold mining companies"" (Oct 2021) republished same Mining Intelligence dataset - figures match",high,yes,
2020,11,Kirkland Lake Gold,KL,CA,1370,,Mining Intelligence / MINING.com (Oct 2021) supplementary figures beyond top 10,,medium,yes,
2020,12,Northern Star Resources,NST,AU,1010,,Mining Intelligence / MINING.com (Oct 2021) supplementary figures beyond top 10,,medium,yes,
2020,13,Nordgold,NORD,RU,1010,,Mining Intelligence / MINING.com (Oct 2021) supplementary figures beyond top 10 (approx. tie with Northern Star),,medium,yes,
2021,1,Newmont Corporation,NEM,US,5971,86.3,"Kitco News (citing company FY2021 results): ""Newmont... attributable gold production of 5,971 koz, +1% y/y"" || Gold revenue share: Newmont Corp FY2023 Form 10-K, Note 5 (Sales): Gold $10,543M / Total $12,222M (2021)",,medium,yes,
2021,2,Barrick Gold,GOLD,CA,4437,,"Kitco News (citing company FY2021 results): ""Barrick... 2021 gold production of 4,437 koz, -7% y/y""",,medium,yes,
2021,3,Polyus,PLZL,RU,2717,,"Kitco News (citing company FY2021 results): ""Polyus... 2021 total gold output of 2,717 koz, -2% y/y""",,medium,yes,
2021,4,AngloGold Ashanti,AU,ZA,2472,100.0,"Kitco News (citing company FY2021 results): ""AngloGold Ashanti... produced 2,472 koz of gold, -12% y/y"" || Gold revenue share: AngloGold Ashanti Ltd FY2022 Form 20-F, income statement: ""Gold sales 1,469,221"" = ""Total revenue 1,469,221"" ($000s, 2021)",,medium,yes,
2021,5,Kinross Gold,KGC,CA,1628,,"Derived: Kinross FY2022 release states 2022 output (68.4 tonnes) was ""35% increase"" over 2021 => 2021 backsolved to ~50.7t/1,628koz. Not a directly reported FY2021 figure - treat as rough estimate",,low,yes,
2022,1,Newmont Corporation,NEM,US,5956,87.4,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production || Gold revenue share: Newmont Corp FY2023 Form 10-K, Note 5 (Sales): Gold $10,416M / Total $11,915M (2022)",,medium,yes,
2022,2,Barrick Gold,GOLD,CA,4141,,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production",,medium,yes,
2022,3,Agnico Eagle Mines,AEM,CA,3135,98.5,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production || Gold revenue share: Agnico Eagle Mines Ltd FY2023 40-F, Note 19 (Segmented information): ""Revenues from mining operations: Gold 5,656,201"" / ""Total revenues from mining operations... 5,741,162"" ($000, 2022)",,medium,yes,
2022,4,AngloGold Ashanti,AU,ZA,2742,100.0,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production || Gold revenue share: AngloGold Ashanti Ltd FY2022 Form 20-F, income statement: ""Gold sales 1,328,306"" = ""Total revenue 1,328,306"" ($000s, 2022)",,medium,yes,
2022,5,Polyus,PLZL,RU,2541,,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production",,medium,yes,
2022,6,Gold Fields,GFI,ZA,2399,,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production",,medium,yes,
2022,7,Kinross Gold,KGC,CA,2200,,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production",,medium,yes,
2022,8,Newcrest Mining,NCM,AU,2163,,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production",,medium,yes,
2022,9,Freeport-McMoRan,FCX,US,1811,14.9,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production || Gold revenue share: Freeport-McMoRan Inc FY2022 Form 10-K, Note 16 (Business Segment Information): ""Product Revenues... Gold 3,397"" / consolidated revenues ""22,780"" ($M, 2022) -- company MD&A separately states ""consolidated revenues for 2022 primarily included sales of copper (77%), gold (14%) and molybdenum (6%)""",,medium,no,"Gold is a copper by-product (14-18% of consolidated revenue in the years checked this session: 2020 12.0%, 2021 11.3%, 2022 14.9%, 2023 15.3%, 2024 17.7%); FCX does not publish a standalone gold AISC or gold-specific segment cost structure -- its entire cost disclosure is organized around copper"
2022,10,Zijin Mining Group,2899.HK,CN,1797,6.9,"Kitco News, ""Top 10 largest gold mining companies in 2022 - report"" (Mar 6, 2023), citing FY2022 company-reported production || Gold revenue share (mine-produced basis, see docs/UNIVERSE.md 1.3): Zijin Mining Group Co Ltd, Annual Results Announcement for FY2023 (HKEX filing), Note 13 (Segment information), FY2022 comparative: ""Sales to external customers"" - Gold bullion RMB9,459.7M + Gold concentrates RMB9,120.9M = RMB18,580.6M; Total external sales RMB270,329.0M -> mine-produced gold share = 18,580.6/270,329.0 (excludes ""Processed, refined and trading gold"" segment RMB85,253.0M, which is non-mine trading/processing revenue, per the segment note's own three-way split)",,medium,no,"Chinese-issuer disclosure gap: Zijin's Q1/Q3 quarterly filings (季报, both A-share and H-share) do not disclose segment/product-level revenue, breaking quarterly panel continuity; the full mine-produced-gold vs. trading/processing split needed for gold_revenue_share_pct exists only in the annual report and H1 interim report (docs/NONSEC_SOURCES.md 3.1, 6.1)"
2023,1,Newmont Corporation,NEM,US,5500,89.7,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report) || Gold revenue share: Newmont Corp FY2023 Form 10-K, Note 5 (Sales): Gold $10,593M / Total $11,812M (2023)","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,yes,
2023,2,Barrick Gold,GOLD,CA,4050,,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report)","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,yes,
2023,3,Agnico Eagle Mines,AEM,CA,3440,98.7,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report) || Gold revenue share: Agnico Eagle Mines Ltd FY2023 40-F, Note 19: Gold $6,540,077 / Total $6,626,909 ($000, 2023); ""Sales of precious metals (gold and silver) accounted for 99.6% of revenues... in 2023""","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,yes,
2023,4,Navoi Mining and Metallurgical Company,,UZ,2900,,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report)","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,no,"No production ounces, tonnage, or unit-cost figure anywhere in NMMC's audited IFRS financial statements (only revenue, cost, royalty, D&A, interest); no denominator exists for a per-ounce or AISC-margin calculation from the company's own disclosure (docs/NONSEC_SOURCES.md 3.3, 6.2)"
2023,5,Polyus,PLZL,RU,2900,,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report)","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,no,"From FY2023 Polyus files 'Published Consolidated Financial Statements' prepared under Russian Government Decree No. 1102, which explicitly omit segment assets/liabilities and related-party detail; the auditor's own emphasis-of-matter paragraph states the statements are not suitable for use beyond the stated compliance purpose (docs/NONSEC_SOURCES.md 3.2, 6.2)"
2023,6,AngloGold Ashanti,AU,ZA,2590,97.8,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report) || Gold revenue share: AngloGold Ashanti PLC FY2025 Form 20-F, revenue note: Gold income $4,480M + By-products $102M = Total $4,582M (2023); gold share = 4,480/4,582","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,yes,
2023,7,Gold Fields,GFI,ZA,2300,95.4,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report) || Gold revenue share: Gold Fields Ltd FY2025 Form 20-F, revenue note: ""Revenue from contracts with customers... Gold 4,293.1 Copper 207.6"" (2023, $M); gold share = 4,293.1/4,500.7","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,yes,
2023,8,Zijin Mining Group,2899.HK,CN,2170,7.5,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report) || Gold revenue share (mine-produced basis, see docs/UNIVERSE.md 1.3): Zijin Mining Group Co Ltd, Annual Results Announcement for FY2023 (HKEX filing), Note 13: Gold bullion RMB13,574.6M + Gold concentrates RMB8,555.5M = RMB22,130.1M; Total external sales RMB293,403.2M -> mine-produced gold share = 22,130.1/293,403.2","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,no,"Chinese-issuer disclosure gap: Zijin's Q1/Q3 quarterly filings (季报, both A-share and H-share) do not disclose segment/product-level revenue, breaking quarterly panel continuity; the full mine-produced-gold vs. trading/processing split needed for gold_revenue_share_pct exists only in the annual report and H1 interim report (docs/NONSEC_SOURCES.md 3.1, 6.1)"
2023,9,Kinross Gold,KGC,CA,2150,,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report)","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,yes,
2023,10,Freeport-McMoRan,FCX,US,1990,15.3,"MINING.com, ""RANKED: World's top 10 gold mining companies"" (Jul 7, 2024), citing company press releases for FY ended Dec 31, 2023 (Navoi/NMMC figure sourced to S&P Global per the article, since NMMC does not self-report) || Gold revenue share: Freeport-McMoRan Inc FY2025 Form 10-K, Note (Product Revenues): Gold $3,472M / Total consolidated revenues from contracts with customers $22,703M (2023)","The Northern Miner, ""Top 10 Gold Mining Companies (2023 Production)"" (Jul 11, 2024) - independently republished ranking, same figures",high,no,"Gold is a copper by-product (14-18% of consolidated revenue in the years checked this session: 2020 12.0%, 2021 11.3%, 2022 14.9%, 2023 15.3%, 2024 17.7%); FCX does not publish a standalone gold AISC or gold-specific segment cost structure -- its entire cost disclosure is organized around copper"
2023,11,Solidcore Resources (fka Polymetal),POLY,KZ,1710,,"MINING.com (Jul 2024): ""Solidcore Resources with 1.71 million oz"" gold-equivalent, listed as honorable mention just outside top 10",,medium,yes,
2024,1,Newmont Corporation,NEM,US,6700,84.3,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures || Gold revenue share: Newmont Corp FY2025 Form 10-K, Note (Sales): Gold $15,746M / Total $18,682M (2024)","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,yes,
2024,2,Barrick Gold,GOLD,CA,3900,,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,yes,
2024,3,Agnico Eagle Mines,AEM,CA,3500,,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,yes,
2024,4,Polyus,PLZL,RU,3000,,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,no,"From FY2023 Polyus files 'Published Consolidated Financial Statements' prepared under Russian Government Decree No. 1102, which explicitly omit segment assets/liabilities and related-party detail; the auditor's own emphasis-of-matter paragraph states the statements are not suitable for use beyond the stated compliance purpose (docs/NONSEC_SOURCES.md 3.2, 6.2)"
2024,5,AngloGold Ashanti,AU,ZA,2600,97.9,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures || Gold revenue share: AngloGold Ashanti PLC FY2025 Form 20-F, revenue note: Gold income $5,673M + By-products $120M = Total $5,793M (2024)","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,yes,
2024,6,Zijin Mining Group,2899.HK,CN,2600,,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,no,"Chinese-issuer disclosure gap: Zijin's Q1/Q3 quarterly filings (季报, both A-share and H-share) do not disclose segment/product-level revenue, breaking quarterly panel continuity; the full mine-produced-gold vs. trading/processing split needed for gold_revenue_share_pct exists only in the annual report and H1 interim report (docs/NONSEC_SOURCES.md 3.1, 6.1)"
2024,7,Gold Fields,GFI,ZA,2100,96.3,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures || Gold revenue share: Gold Fields Ltd FY2025 Form 20-F, revenue note: Gold $5,008.9M / Total $5,201.6M (2024)","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,yes,
2024,8,Kinross Gold,KGC,CA,2100,,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,yes,
2024,9,Freeport-McMoRan,FCX,US,1900,17.7,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures || Gold revenue share: Freeport-McMoRan Inc FY2025 Form 10-K, Note (Product Revenues): Gold $4,446M / Total $25,169M (2024)","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,no,"Gold is a copper by-product (14-18% of consolidated revenue in the years checked this session: 2020 12.0%, 2021 11.3%, 2022 14.9%, 2023 15.3%, 2024 17.7%); FCX does not publish a standalone gold AISC or gold-specific segment cost structure -- its entire cost disclosure is organized around copper"
2024,10,Northern Star Resources,NST,AU,1600,,"Wikipedia ""Largest gold companies"" 2024 production table, citing BNN Bloomberg (""Newmont Widens Output Gap Over Gold Mining Rivals"", Mar 7, 2025) and company disclosures","MINING.com (same underlying Bloomberg-sourced article, republished; figures identical)",high,yes,
2024,11,Shandong Gold Mining,1787.HK,CN,1343,,"Shandong Gold Mining FY2023 results disclosure: mine-produced gold 41.78 tonnes (=1,343 koz at 32,150.7 oz/tonne); FY2024 exact figure not independently found (company FY2024 target was ""no less than 47 tonnes"" = guidance, not actual) - FY2023 actual shown as proxy, flagged",,low,no,"Same Chinese-issuer disclosure gap as Zijin: Shandong Gold's A-share Q1/Q3 quarterly reports do not carry segment/product revenue detail; only annual and H1 filings do, breaking quarterly panel continuity (docs/NONSEC_SOURCES.md 2, 4)"
2025,1,Newmont Corporation,NEM,US,5890,85.2,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025 || Gold revenue share: Newmont Corp FY2025 Form 10-K, Note (Sales): Gold $19,304M / Total $22,669M (2025)","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,yes,
2025,2,Agnico Eagle Mines,AEM,CA,3447,,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,yes,
2025,3,Barrick Mining,B,CA,3254,,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,yes,
2025,4,Navoi Mining and Metallurgical Company,,UZ,3150,,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,no,"No production ounces, tonnage, or unit-cost figure anywhere in NMMC's audited IFRS financial statements (only revenue, cost, royalty, D&A, interest); no denominator exists for a per-ounce or AISC-margin calculation from the company's own disclosure (docs/NONSEC_SOURCES.md 3.3, 6.2)"
2025,5,AngloGold Ashanti,AU,ZA,3089,98.4,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025 || Gold revenue share: AngloGold Ashanti PLC FY2025 Form 20-F, revenue note: Gold income $9,730M + By-products $163M = Total $9,893M (2025)","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,yes,
2025,6,Polyus,PLZL,RU,2528,,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,no,"From FY2023 Polyus files 'Published Consolidated Financial Statements' prepared under Russian Government Decree No. 1102, which explicitly omit segment assets/liabilities and related-party detail; the auditor's own emphasis-of-matter paragraph states the statements are not suitable for use beyond the stated compliance purpose (docs/NONSEC_SOURCES.md 3.2, 6.2)"
2025,7,Zijin Mining Group,2899.HK,CN,2415,,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,no,"Chinese-issuer disclosure gap: Zijin's Q1/Q3 quarterly filings (季报, both A-share and H-share) do not disclose segment/product-level revenue, breaking quarterly panel continuity; the full mine-produced-gold vs. trading/processing split needed for gold_revenue_share_pct exists only in the annual report and H1 interim report (docs/NONSEC_SOURCES.md 3.1, 6.1)"
2025,8,Gold Fields,GFI,ZA,2222,96.1,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025 || Gold revenue share: Gold Fields Ltd FY2025 Form 20-F, revenue note: Gold $8,406.5M / Total $8,751.3M (2025)","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,yes,
2025,9,Kinross Gold,KGC,CA,2012,,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,yes,
2025,10,Northern Star Resources,NST,AU,1562,,"Investing News Network, ""Top 10 Gold-mining Companies"" (updated Apr 2026), citing official company reports/financial disclosures for calendar year 2025","Zijin figure diverges from Zijin's own Mar 2026 results announcement (""90 tonnes mined gold, +23% y/y"" = ~2,894 koz) by ~17% - see confidence note",medium,yes,
